Nes,M,pA,rep,sweeps
200.0,1,0.0001,877,79
200.0,1,0.0001,878,82
200.0,1,0.0001,879,58
200.0,1,0.0001,880,67
200.0,1,0.0001,881,85
200.0,1,0.0001,882,78
200.0,1,0.0001,883,79
200.0,1,0.0001,884,73
200.0,1,0.0001,885,87
200.0,1,0.0001,886,97
200.0,1,0.0001,887,68
200.0,1,0.0001,888,78
200.0,1,0.0001,889,84
200.0,1,0.0001,890,82
200.0,1,0.0001,891,82
200.0,1,0.0001,892,76
200.0,1,0.0001,893,92
200.0,1,0.0001,894,88
200.0,1,0.0001,895,78
200.0,1,0.0001,896,73
200.0,1,0.0001,897,70
200.0,1,0.0001,898,103
200.0,1,0.0001,899,84
200.0,1,0.0001,900,73
200.0,1,0.0001,901,84
200.0,1,0.0001,902,86
200.0,1,0.0001,903,77
200.0,1,0.0001,904,103
200.0,1,0.0001,905,93
200.0,1,0.0001,906,85
200.0,1,0.0001,907,86
200.0,1,0.0001,908,86
200.0,1,0.0001,909,74
200.0,1,0.0001,910,81
200.0,1,0.0001,911,77
200.0,1,0.0001,912,103
200.0,1,0.0001,913,81
200.0,1,0.0001,914,73
200.0,1,0.0001,915,87
200.0,1,0.0001,916,82
200.0,1,0.0001,917,92
200.0,1,0.0001,918,96
200.0,1,0.0001,919,88
200.0,1,0.0001,920,78
200.0,1,0.0001,921,86
200.0,1,0.0001,922,99
200.0,1,0.0001,923,78
200.0,1,0.0001,924,77
200.0,1,0.0001,925,94
200.0,1,0.0001,926,102
