name,rep,s,Ua,distance,fstOutliers
c0/run27.s0.006.Ua1.0.d400.csv,27,0.006,1.0,400,21
c0/run7.s0.006.Ua10.0.d400.csv,7,0.006,10.0,400,249
c0/run18.s0.0002.Ua1.0.d400.csv,18,0.0002,1.0,400,1
c0/run19.s0.0002.Ua1.0.d200.csv,19,0.0002,1.0,200,0
c0/run22.s0.006.Ua10.0.d100.csv,22,0.006,10.0,100,44
c0/run12.s0.02.Ua1.0.d300.csv,12,0.02,1.0,300,34
c0/run15.s0.0002.Ua10.0.d100.csv,15,0.0002,10.0,100,0
c0/run11.s0.006.Ua10.0.d100.csv,11,0.006,10.0,100,51
c0/run16.s0.0002.Ua0.1.d400.csv,16,0.0002,0.1,400,0
c0/run3.s0.0006.Ua0.1.d400.csv,3,0.0006,0.1,400,0
c0/run24.s0.002.Ua0.1.d300.csv,24,0.002,0.1,300,0
c0/run3.s0.0006.Ua10.0.d100.csv,3,0.0006,10.0,100,0
c0/run23.s0.0006.Ua10.0.d200.csv,23,0.0006,10.0,200,22
c0/run28.s0.002.Ua1.0.d100.csv,28,0.002,1.0,100,1
c0/run3.s0.0002.Ua1.0.d400.csv,3,0.0002,1.0,400,0
c0/run11.s0.006.Ua10.0.d200.csv,11,0.006,10.0,200,135
c0/run4.s0.002.Ua0.1.d200.csv,4,0.002,0.1,200,0
c0/run27.s0.0002.Ua1.0.d200.csv,27,0.0002,1.0,200,1
c0/run13.s0.002.Ua1.0.d300.csv,13,0.002,1.0,300,12
c0/run2.s0.006.Ua10.0.d300.csv,2,0.006,10.0,300,152
c0/run1.s0.006.Ua0.1.d400.csv,1,0.006,0.1,400,5
c0/run25.s0.0002.Ua0.1.d200.csv,25,0.0002,0.1,200,0
c0/run14.s0.006.Ua1.0.d100.csv,14,0.006,1.0,100,6
c0/run15.s0.006.Ua0.1.d100.csv,15,0.006,0.1,100,0
c0/run16.s0.0002.Ua10.0.d300.csv,16,0.0002,10.0,300,12
c0/run10.s0.0002.Ua0.1.d200.csv,10,0.0002,0.1,200,0
c0/run22.s0.0002.Ua1.0.d400.csv,22,0.0002,1.0,400,3
c0/run27.s0.0006.Ua1.0.d400.csv,27,0.0006,1.0,400,3
c0/run14.s0.02.Ua0.1.d400.csv,14,0.02,0.1,400,1
c0/run10.s0.002.Ua0.1.d400.csv,10,0.002,0.1,400,3
c0/run19.s0.006.Ua10.0.d300.csv,19,0.006,10.0,300,210
c0/run20.s0.002.Ua0.1.d400.csv,20,0.002,0.1,400,1
c0/run10.s0.002.Ua10.0.d300.csv,10,0.002,10.0,300,110
c0/run6.s0.002.Ua1.0.d200.csv,6,0.002,1.0,200,12
c0/run5.s0.02.Ua0.1.d200.csv,5,0.02,0.1,200,1
c0/run23.s0.006.Ua10.0.d100.csv,23,0.006,10.0,100,41
c0/run6.s0.002.Ua0.1.d400.csv,6,0.002,0.1,400,1
c0/run1.s0.002.Ua10.0.d200.csv,1,0.002,10.0,200,70
c0/run8.s0.0002.Ua1.0.d200.csv,8,0.0002,1.0,200,1
c0/run11.s0.0002.Ua1.0.d200.csv,11,0.0002,1.0,200,2
c0/run11.s0.0006.Ua10.0.d400.csv,11,0.0006,10.0,400,74
c0/run13.s0.0006.Ua0.1.d300.csv,13,0.0006,0.1,300,0
c0/run27.s0.002.Ua1.0.d400.csv,27,0.002,1.0,400,16
c0/run5.s0.006.Ua10.0.d200.csv,5,0.006,10.0,200,137
c0/run14.s0.02.Ua0.1.d100.csv,14,0.02,0.1,100,0
c0/run28.s0.0002.Ua10.0.d300.csv,28,0.0002,10.0,300,8
c0/run24.s0.002.Ua10.0.d400.csv,24,0.002,10.0,400,157
c0/run27.s0.0002.Ua0.1.d300.csv,27,0.0002,0.1,300,2
c0/run26.s0.0006.Ua1.0.d300.csv,26,0.0006,1.0,300,4
c0/run1.s0.02.Ua0.1.d200.csv,1,0.02,0.1,200,2
c0/run23.s0.002.Ua10.0.d400.csv,23,0.002,10.0,400,147
c0/run6.s0.0006.Ua10.0.d400.csv,6,0.0006,10.0,400,60
c0/run7.s0.002.Ua0.1.d300.csv,7,0.002,0.1,300,0
c0/run22.s0.006.Ua0.1.d100.csv,22,0.006,0.1,100,0
c0/run2.s0.0002.Ua10.0.d200.csv,2,0.0002,10.0,200,3
c0/run3.s0.006.Ua10.0.d200.csv,3,0.006,10.0,200,116
c0/run29.s0.02.Ua0.1.d200.csv,29,0.02,0.1,200,1
c0/run3.s0.02.Ua1.0.d300.csv,3,0.02,1.0,300,23
c0/run15.s0.002.Ua0.1.d200.csv,15,0.002,0.1,200,1
c0/run13.s0.0006.Ua1.0.d400.csv,13,0.0006,1.0,400,10
c0/run18.s0.02.Ua0.1.d200.csv,18,0.02,0.1,200,3
c0/run9.s0.0002.Ua0.1.d200.csv,9,0.0002,0.1,200,0
c0/run24.s0.0002.Ua1.0.d400.csv,24,0.0002,1.0,400,2
c0/run23.s0.006.Ua0.1.d300.csv,23,0.006,0.1,300,1
